2.71053161e-01,-4.81277000e-04,-7.29096038e-03
2.78289396e-01,-5.07699000e-04,-9.98428245e-03
2.82447916e-01,-5.23052000e-04,-9.61325210e-03
2.89759151e-01,-5.50365000e-04,-1.20194016e-02
2.94150558e-01,-5.67237000e-04,-1.81205011e-02
2.99959688e-01,-5.89885000e-04,-1.20308629e-02
3.05884561e-01,-6.13429000e-04,-1.40481734e-02
3.11837937e-01,-6.37666000e-04,-1.18392619e-02
3.17877567e-01,-6.62645000e-04,-8.62725250e-03
3.24418253e-01,-6.90031000e-04,-9.76170570e-03
3.30645495e-01,-7.16452000e-04,-1.19387545e-02
3.36924203e-01,-7.43674000e-04,-1.00312605e-02
3.44113461e-01,-7.75129000e-04,-7.98644205e-03
3.52004855e-01,-8.10354000e-04,-7.62308939e-03
3.58445290e-01,-8.39442000e-04,-1.08764155e-02
3.63410829e-01,-8.62110000e-04,-1.39783235e-02
3.69223931e-01,-8.89047000e-04,-1.34976580e-02
3.75942136e-01,-9.20669000e-04,-1.21150794e-02
3.83208712e-01,-9.55754000e-04,-1.08786200e-02
3.89301650e-01,-9.85548000e-04,-7.64738294e-03
3.96401825e-01,-1.02055800e-03,-5.41966615e-03
4.03256418e-01,-1.05468200e-03,-6.69863795e-03
4.10434953e-01,-1.09057900e-03,-1.38852586e-02
4.17032978e-01,-1.12424600e-03,-1.83851915e-02
4.24291342e-01,-1.16234300e-03,-1.43520866e-02
4.31174447e-01,-1.19923000e-03,-1.13576308e-02
4.38178044e-01,-1.23713800e-03,-1.31659701e-02
4.44597527e-01,-1.27253500e-03,-1.11700228e-02
4.52758132e-01,-1.31809200e-03,-8.31196354e-03
4.61153213e-01,-1.36560800e-03,-1.19676414e-02
4.68113354e-01,-1.40568200e-03,-9.13129199e-03
4.76271917e-01,-1.45330600e-03,-2.50175675e-03
4.83980539e-01,-1.49832900e-03,-2.11484031e-03
4.91925671e-01,-1.54475800e-03,-7.68582019e-03
4.99440984e-01,-1.58911800e-03,-8.29156366e-03
5.08842090e-01,-1.64546200e-03,-1.02178504e-02
5.14559942e-01,-1.68024700e-03,-9.35024036e-03
5.22751150e-01,-1.73037500e-03,-4.25761067e-03
5.31799827e-01,-1.78613300e-03,-1.13735478e-02
5.39508262e-01,-1.83404600e-03,-8.73187053e-03
5.51748612e-01,-1.91197200e-03,-1.46692260e-02
5.56222082e-01,-1.94091900e-03,-2.12244624e-02
5.66173073e-01,-2.00658500e-03,-1.06041258e-02
5.73378737e-01,-2.05511300e-03,-1.14111586e-02
5.81915069e-01,-2.11308900e-03,-8.14915335e-03
5.90235197e-01,-2.17010400e-03,-8.20156388e-03
5.99792775e-01,-2.23647800e-03,-6.62559743e-03
6.08404857e-01,-2.29678000e-03,-5.01130753e-03
6.17989692e-01,-2.36428000e-03,-5.70168849e-03
6.26764100e-01,-2.42644700e-03,-8.88057202e-03
6.35853883e-01,-2.49165400e-03,-1.02733009e-02
6.45192589e-01,-2.55944200e-03,-1.68936508e-02
6.53834721e-01,-2.62335900e-03,-8.02222993e-03
6.67854765e-01,-2.72891000e-03,-1.16285673e-02
6.71888258e-01,-2.75972800e-03,-2.18095934e-02
6.81294249e-01,-2.83250400e-03,-6.13742526e-03
6.90371002e-01,-2.90334500e-03,-5.44396440e-03
7.01195003e-01,-2.98840100e-03,-9.47176562e-03
7.07962570e-01,-3.04213700e-03,-1.36314008e-02
7.17753618e-01,-3.12086100e-03,-1.47270240e-02
7.26656097e-01,-3.19348200e-03,-1.14071563e-02
7.39353929e-01,-3.29928600e-03,-1.31710221e-02
7.45253039e-01,-3.34935200e-03,-1.18123716e-02
7.54450306e-01,-3.42775400e-03,-4.25850538e-03
7.63173314e-01,-3.50215600e-03,-9.73075220e-03
7.72426200e-01,-3.58214300e-03,-1.11013454e-02
7.81252441e-01,-3.65946900e-03,-8.66795099e-03
7.90522197e-01,-3.74120600e-03,-7.93173874e-03
7.99994395e-01,-3.82544700e-03,-5.52611014e-03
8.11748240e-01,-3.93077500e-03,-4.77147676e-03
8.20948310e-01,-4.01367000e-03,-6.26944645e-03
8.32238620e-01,-4.11583100e-03,-8.09066886e-03
8.42191264e-01,-4.20713600e-03,-9.31192877e-03
8.53414881e-01,-4.31078500e-03,-1.13789717e-02
8.63137646e-01,-4.40204800e-03,-1.45022477e-02
8.73657889e-01,-4.50204800e-03,-1.36543304e-02
8.84585754e-01,-4.60764400e-03,-1.07739518e-02
8.96253334e-01,-4.72214300e-03,-1.03959452e-02
9.06023753e-01,-4.81864300e-03,-1.29714796e-02
9.17018357e-01,-4.92900100e-03,-1.22508665e-02
9.27623875e-01,-5.03685100e-03,-1.32767010e-02
9.38424559e-01,-5.14805300e-03,-1.00575699e-02
9.50658783e-01,-5.27582600e-03,-8.39753570e-03
9.60534076e-01,-5.37973900e-03,-8.81374033e-03
9.72504777e-01,-5.50644800e-03,-1.13700901e-02
9.83492338e-01,-5.62459200e-03,-1.83379315e-02
9.93788285e-01,-5.73706500e-03,-1.45895112e-02
1.00647595e+00,-5.87802800e-03,-1.51284229e-02
1.01647036e+00,-5.99081200e-03,-1.57147521e-02
1.02860155e+00,-6.12965000e-03,-1.10503942e-02
1.04019658e+00,-6.26412800e-03,-1.16902724e-02
1.05113195e+00,-6.39215700e-03,-1.33847870e-02
1.06263612e+00,-6.52838800e-03,-1.13992212e-02
1.07544071e+00,-6.68234800e-03,-1.10123844e-02
1.08653696e+00,-6.81683000e-03,-1.41304421e-02
1.09808335e+00,-6.95872400e-03,-1.25689866e-02
1.11048293e+00,-7.11306900e-03,-5.81685361e-03
1.12630253e+00,-7.31129700e-03,-7.22594419e-03
1.13433140e+00,-7.41272300e-03,-6.53205109e-03
1.14742435e+00,-7.57880300e-03,-1.82195238e-03
1.15791774e+00,-7.71197200e-03,-5.31526593e-03
